0.56933,0.52641,1.2774e-08,0.035237,4.5011e-10
0.5734,0.52337,1.27e-08,0.035094,4.457e-10
0.57749,0.52264,1.2682e-08,0.035145,4.4572e-10
0.58162,0.52467,1.2732e-08,0.03497,4.4523e-10
0.58577,0.52606,1.2765e-08,0.033893,4.3266e-10
0.58996,0.52469,1.2732e-08,0.033702,4.2909e-10
0.59417,0.52192,1.2665e-08,0.033652,4.2619e-10
0.59841,0.52054,1.2631e-08,0.033389,4.2175e-10
0.60269,0.52051,1.2631e-08,0.033311,4.2074e-10
0.60699,0.51718,1.255e-08,0.033519,4.2066e-10
0.61133,0.50765,1.2319e-08,0.032885,4.051e-10
0.6157,0.49884,1.2105e-08,0.031928,3.8648e-10
0.62009,0.49657,1.205e-08,0.032176,3.8772e-10
0.62452,0.50221,1.2187e-08,0.031474,3.8357e-10
0.62898,0.51258,1.2438e-08,0.031541,3.9231e-10
0.63348,0.51791,1.2568e-08,0.031738,3.9887e-10
0.638,0.51733,1.2554e-08,0.03151,3.9556e-10
0.64256,0.51566,1.2513e-08,0.03122,3.9065e-10
0.64715,0.5139,1.247e-08,0.030704,3.8289e-10
0.65177,0.51141,1.241e-08,0.029628,3.6768e-10
0.65643,0.5083,1.2334e-08,0.028043,3.459e-10
0.66111,0.50548,1.2266e-08,0.029339,3.5987e-10
0.66584,0.5041,1.2232e-08,0.029318,3.5863e-10
0.67059,0.50581,1.2274e-08,0.029389,3.6072e-10
0.67538,0.50955,1.2365e-08,0.029131,3.602e-10
0.68021,0.51058,1.239e-08,0.029547,3.6608e-10
0.68507,0.50962,1.2366e-08,0.029086,3.5969e-10
0.68996,0.50899,1.2351e-08,0.029171,3.603e-10
0.69489,0.50528,1.2261e-08,0.028083,3.4433e-10
0.69985,0.50009,1.2135e-08,0.027425,3.3281e-10
0.70485,0.49879,1.2104e-08,0.027238,3.2967e-10
0.70988,0.49976,1.2127e-08,0.026761,3.2453e-10
0.71496,0.49331,1.1971e-08,0.02464,2.9496e-10
0.72006,0.47975,1.1642e-08,0.02554,2.9732e-10
0.72521,0.46764,1.1348e-08,0.024707,2.8037e-10
0.73039,0.46967,1.1397e-08,0.025521,2.9086e-10
0.7356,0.48299,1.172e-08,0.024986,2.9284e-10
0.74086,0.49446,1.1999e-08,0.024414,2.9294e-10
0.74615,0.49902,1.2109e-08,0.023966,2.9021e-10
0.75148,0.49885,1.2105e-08,0.024112,2.9187e-10
0.75685,0.49739,1.207e-08,0.019245,2.3229e-10
0.76225,0.49538,1.2021e-08,0.021842,2.6257e-10
0.7677,0.49348,1.1975e-08,0.023444,2.8074e-10
0.77318,0.49115,1.1918e-08,0.022406,2.6704e-10
0.7787,0.48792,1.184e-08,0.021834,2.5851e-10
0.78427,0.48546,1.178e-08,0.021615,2.5463e-10
0.78987,0.48429,1.1752e-08,0.02132,2.5055e-10
0.79551,0.48302,1.1721e-08,0.02113,2.4767e-10
0.80119,0.48374,1.1738e-08,0.021055,2.4715e-10
0.80691,0.48671,1.181e-08,0.021112,2.4934e-10
0.81268,0.48946,1.1877e-08,0.021149,2.5119e-10
0.81848,0.49125,1.1921e-08,0.020848,2.4853e-10
0.82433,0.49222,1.1944e-08,0.020981,2.506e-10
0.83022,0.49187,1.1936e-08,0.020164,2.4067e-10
0.83615,0.48922,1.1871e-08,0.019419,2.3052e-10
0.84212,0.48715,1.1821e-08,0.019026,2.249e-10
0.84814,0.4863,1.1801e-08,0.018759,2.2137e-10
0.85419,0.47828,1.1606e-08,0.01814,2.1053e-10
0.8603,0.46423,1.1265e-08,0.017905,2.017e-10
0.86644,0.46192,1.1209e-08,0.017697,1.9837e-10
0.87263,0.46227,1.1217e-08,0.017479,1.9607e-10
0.87886,0.41622,1.01e-08,0.017392,1.7565e-10
0.88514,0.3473,8.4276e-09,0.017102,1.4413e-10
0.89146,0.32875,7.9774e-09,0.017202,1.3722e-10
0.89783,0.36782,8.9255e-09,0.015087,1.3466e-10
0.90424,0.43129,1.0466e-08,0.016881,1.7667e-10
0.9107,0.47185,1.145e-08,0.016625,1.9035e-10
0.91721,0.48469,1.1761e-08,0.016513,1.9422e-10
0.92376,0.4905,1.1902e-08,0.01716,2.0425e-10
0.93036,0.49482,1.2007e-08,0.013378,1.6063e-10
0.937,0.49626,1.2042e-08,0.01621,1.952e-10
0.9437,0.49407,1.1989e-08,0.015206,1.8231e-10
0.95044,0.49022,1.1896e-08,0.014609,1.7379e-10
0.95722,0.48283,1.1716e-08,0.014894,1.745e-10
0.96406,0.46914,1.1384e-08,0.014066,1.6013e-10
0.97095,0.45593,1.1064e-08,0.014816,1.6391e-10
0.97788,0.44142,1.0711e-08,0.014195,1.5205e-10
0.98487,0.41486,1.0067e-08,0.01366,1.3752e-10
0.9919,0.3994,9.6918e-09,0.013428,1.3014e-10
0.99899,0.4029,9.7768e-09,0.01363,1.3326e-10
