Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
2.910E-07,6.826E-19,3.670E-02,2.603E-02,1.864E-02,1.791E-02,1.508E-02,3.063E-03,9.412E-04,8.130E-04,1.287E-03
2.920E-07,6.803E-19,3.753E-02,2.679E-02,1.911E-02,1.788E-02,1.444E-02,3.097E-03,1.028E-03,1.028E-03,1.627E-03
2.930E-07,6.780E-19,3.552E-02,2.633E-02,1.880E-02,1.781E-02,1.472E-02,2.950E-03,9.905E-04,1.044E-03,1.652E-03
2.940E-07,6.757E-19,3.573E-02,2.586E-02,1.848E-02,1.775E-02,1.276E-02,2.978E-03,9.640E-04,1.084E-03,1.716E-03
2.950E-07,6.734E-19,3.551E-02,2.613E-02,1.871E-02,1.748E-02,1.290E-02,2.993E-03,1.029E-03,6.556E-04,1.038E-03
2.960E-07,6.711E-19,3.694E-02,2.640E-02,1.894E-02,1.722E-02,1.554E-02,3.063E-03,1.006E-03,8.950E-04,1.417E-03
2.970E-07,6.688E-19,3.615E-02,2.648E-02,1.910E-02,1.740E-02,1.077E-02,2.348E-03,9.544E-04,6.356E-04,1.006E-03
2.980E-07,6.666E-19,3.610E-02,2.655E-02,1.927E-02,1.759E-02,1.399E-02,2.781E-03,1.068E-03,7.710E-04,1.221E-03
2.990E-07,6.644E-19,3.675E-02,2.710E-02,1.958E-02,1.782E-02,1.472E-02,2.419E-03,1.140E-03,1.027E-03,1.627E-03
3.000E-07,6.621E-19,3.670E-02,2.766E-02,1.989E-02,1.806E-02,9.026E-03,2.142E-03,1.145E-03,9.867E-04,1.562E-03
3.010E-07,6.599E-19,3.699E-02,2.790E-02,1.997E-02,1.816E-02,1.199E-02,2.212E-03,1.225E-03,9.814E-04,1.554E-03
3.020E-07,6.578E-19,3.631E-02,2.814E-02,2.004E-02,1.827E-02,7.891E-03,2.165E-03,1.103E-03,8.199E-04,1.298E-03
3.030E-07,6.556E-19,3.651E-02,2.807E-02,2.092E-02,1.905E-02,1.583E-02,3.240E-03,1.561E-03,1.090E-03,1.726E-03
3.040E-07,6.534E-19,3.622E-02,2.801E-02,2.180E-02,1.984E-02,1.358E-02,3.505E-03,1.531E-03,1.330E-03,2.106E-03
