r(lam/D),r(arcsec),I,contrast,core_thruput,PSF_peak,area(sq_arcsec),occ*lyot
2.7,0.128699,3.71E-11,1.39E-08,0.01646,0.00208,0.00209,0.00000
3.0,0.142999,2.84E-11,7.25E-09,0.02934,0.00383,0.00211,0.44469
3.3,0.157299,1.23E-11,2.17E-09,0.04222,0.00557,0.00214,0.44469
3.6,0.171598,4.80E-12,7.51E-10,0.04902,0.00647,0.00214,0.44469
3.9,0.185898,9.82E-12,1.45E-09,0.05184,0.00684,0.00214,0.44469
4.2,0.200198,1.81E-11,2.48E-09,0.05462,0.00721,0.00214,0.44469
4.5,0.214498,1.78E-11,2.37E-09,0.05740,0.00758,0.00214,0.44469
4.8,0.228798,9.02E-12,1.14E-09,0.05941,0.00790,0.00211,0.44469
5.1,0.243098,3.93E-12,4.91E-10,0.05997,0.00798,0.00211,0.44469
5.4,0.257398,7.16E-12,8.90E-10,0.06054,0.00805,0.00211,0.44469
5.7,0.271698,1.12E-11,1.39E-09,0.06055,0.00806,0.00211,0.44469
6.0,0.285997,1.04E-11,1.30E-09,0.06056,0.00806,0.00211,0.44469
6.3,0.300297,6.81E-12,8.48E-10,0.06042,0.00804,0.00211,0.44469
6.6,0.314597,5.20E-12,6.48E-10,0.06028,0.00802,0.00211,0.44469
6.9,0.328897,6.01E-12,7.51E-10,0.06013,0.00800,0.00211,0.44469
7.2,0.343197,6.68E-12,8.38E-10,0.05999,0.00798,0.00211,0.44469
7.5,0.357497,6.30E-12,7.92E-10,0.05986,0.00796,0.00211,0.44469
7.8,0.371797,5.19E-12,6.54E-10,0.05973,0.00795,0.00211,0.44469
8.1,0.386097,4.79E-12,6.04E-10,0.05959,0.00793,0.00211,0.44469
8.4,0.400396,6.54E-12,8.25E-10,0.05956,0.00792,0.00211,0.44469
8.7,0.414696,1.26E-11,1.58E-09,0.04824,0.00792,0.00166,0.44469
9.0,0.428996,4.31E-11,5.44E-09,0.02682,0.00792,0.00098,0.44469
9.3,0.443296,1.51E-10,1.90E-08,0.01095,0.00792,0.00057,0.44469
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
